Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_material_ID,SRA Study
SRR10664986,AMPLICON,501,25458513,PRJNA594727,SAMN13527423,Metagenome or environmental,15625648,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7344145,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse61,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M61,Maternal_Oral_M6,SRP236063
SRR10664987,AMPLICON,501,477330,PRJNA594727,SAMN13527422,Metagenome or environmental,392531,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX7344144,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse60,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M60,Placenta_M13,SRP236063
SRR10664988,AMPLICON,501,22549,PRJNA594727,SAMN13527376,Metagenome or environmental,95060,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX7344142,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse6,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M6,Fetal_Brain_M13,SRP236063
SRR10664989,AMPLICON,501,148960751,PRJNA594727,SAMN13527420,Metagenome or environmental,91624134,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX7344141,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse57,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M57,Maternal_Oral_M10,SRP236063
SRR10664990,AMPLICON,501,42952502,PRJNA594727,SAMN13527419,Metagenome or environmental,26460097,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7344140,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse56,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M56,Maternal_Proximal_Intestine_M10,SRP236063
SRR10664991,AMPLICON,501,279224,PRJNA594727,SAMN13527421,Metagenome or environmental,258848,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX7344143,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse59,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M59,Maternal_Lung_M10,SRP236063
SRR10664992,AMPLICON,501,25587,PRJNA594727,SAMN13527418,Metagenome or environmental,96062,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7344139,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse55,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M55,Fetal_Brain_M8,SRP236063
SRR10664993,AMPLICON,501,215691,PRJNA594727,SAMN13527417,Metagenome or environmental,230825,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7344138,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse54,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M54,Maternal_Liver_M9,SRP236063
SRR10664994,AMPLICON,501,422513,PRJNA594727,SAMN13527416,Metagenome or environmental,335948,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7344137,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse53,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M53,Dacron_3,SRP236063
SRR10664995,AMPLICON,501,309005,PRJNA594727,SAMN13527415,Metagenome or environmental,272995,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7344136,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse52,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M52,Maternal_Skin_M4,SRP236063
SRR10664996,AMPLICON,501,80772,PRJNA594727,SAMN13527413,Metagenome or environmental,133640,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7344134,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse50,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M50,Fetal_Tail_M13,SRP236063
SRR10664997,AMPLICON,501,48665,PRJNA594727,SAMN13527412,Metagenome or environmental,114268,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7344133,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse49,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M49,Placenta_M15,SRP236063
SRR10664998,AMPLICON,501,153051,PRJNA594727,SAMN13527562,Metagenome or environmental,179024,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX7344131,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse221,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M221,Dacron_10,SRP236063
