query_accver,subject_accver,perc_identity,alignment_length,mismatches,gap_opens,qstart,qend,sstart,send,evalue,bitscore,isolation_source,host
b4f3850fd3c56b21b6eb92fc8e4c7087,KP278091.1,100.0,253,0,0,1,253,480,732,1.91e-127,468,,mouse
b4f3850fd3c56b21b6eb92fc8e4c7087,KP278086.1,100.0,253,0,0,1,253,480,732,1.91e-127,468,,mouse
b4f3850fd3c56b21b6eb92fc8e4c7087,KP278084.1,100.0,253,0,0,1,253,462,714,1.91e-127,468,,mouse
b4f3850fd3c56b21b6eb92fc8e4c7087,KP278083.1,100.0,253,0,0,1,253,480,732,1.91e-127,468,,mouse
7f9b6e8f00d7dee79027e94f592ed7d7,MN081726.1,100.0,253,0,0,1,253,474,726,1.91e-127,468,,
7f9b6e8f00d7dee79027e94f592ed7d7,MN081725.1,100.0,253,0,0,1,253,476,728,1.91e-127,468,,
7f9b6e8f00d7dee79027e94f592ed7d7,MN081724.1,100.0,253,0,0,1,253,477,729,1.91e-127,468,,
7f9b6e8f00d7dee79027e94f592ed7d7,MK287673.1,100.0,253,0,0,1,253,475,727,1.91e-127,468,,
7f9b6e8f00d7dee79027e94f592ed7d7,KX858335.1,100.0,253,0,0,1,253,446,698,1.91e-127,468,,
7f9b6e8f00d7dee79027e94f592ed7d7,KX858270.1,100.0,253,0,0,1,253,501,753,1.91e-127,468,,
7f9b6e8f00d7dee79027e94f592ed7d7,KX858259.1,100.0,253,0,0,1,253,464,716,1.91e-127,468,,
7f9b6e8f00d7dee79027e94f592ed7d7,KX858254.1,100.0,253,0,0,1,253,472,724,1.91e-127,468,,
7f9b6e8f00d7dee79027e94f592ed7d7,KX858246.1,100.0,253,0,0,1,253,471,723,1.91e-127,468,,
7f9b6e8f00d7dee79027e94f592ed7d7,KX858243.1,100.0,253,0,0,1,253,521,773,1.91e-127,468,,
7f9b6e8f00d7dee79027e94f592ed7d7,KX858174.1,100.0,253,0,0,1,253,473,725,1.91e-127,468,,
